latitud,longitud,altura,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total
-34.55,-58.4167,6.0,3.0,0.1572,7.5,5.925,4.5,0.9314,71.1,11.3,0.0529,76.4,71.4417,65.1,3.7802,857.3,1.1,0.1123,4.2,3.625,3.1,0.407,43.5,62.9,0.2529,117.5,92.2417,54.6,23.3298,1106.9,13.2,0.2625,24.5,18.05,11.3,4.7383,216.6,14.0,0.2304,28.4,21.6083,14.4,4.978,259.3,12.4,0.3025,20.8,14.725,8.4,4.454,176.7
-38.7,-62.15,83.0,3.2,0.1973,6.7,4.975,3.5,0.9818,59.7,23.2,0.1186,75.2,64.6417,52.0,7.6662,775.7,1.2,0.1163,4.1,3.575,2.9,0.4159,42.9,38.9,0.2962,70.6,53.2583,31.7,15.7777,639.1,16.0,0.3697,23.6,15.4083,7.6,5.6962,184.9,17.3,0.2758,31.2,22.425,13.9,6.1846,269.1,13.9,0.53,16.3,9.2417,2.4,4.8985,110.9
-41.1333,-71.15,835.0,10.8,0.5631,13.3,6.8167,2.5,3.8388,81.8,27.2,0.1569,79.1,65.0167,51.9,10.2024,780.2,2.7,0.223,5.4,4.0083,2.7,0.8939,48.1,150.8,0.7443,168.3,67.7083,17.5,50.3945,812.5,13.3,0.5706,15.4,8.4583,2.1,4.8263,101.5,16.5,0.4058,23.2,14.9333,6.7,6.0604,179.2,8.6,1.2221,7.0,2.5167,-1.6,3.0757,30.2
-62.2333,-58.65,11.0,0.94,0.0353,8.62,8.1933,7.68,0.2889,98.32,4.94,0.0151,87.6,85.285,82.66,1.2872,1023.42,0.7,0.0368,7.1,6.775,6.4,0.2491,81.3,7.08,0.0625,41.74,37.68,34.66,2.3551,452.16,8.0,-1.7699,2.2,-1.65,-5.8,2.9203,-19.8,7.3,4.2382,4.3,0.6167,-3.0,2.6135,7.4,9.4,-0.8502,0.4,-4.0167,-9.0,3.4149,-48.2
-68.1167,-67.1,7.0,1.26,0.0481,8.62,7.99,7.36,0.3842,95.88,11.46,0.0464,82.66,78.035,71.2,3.6225,936.42,1.3,0.069,6.5,6.0667,5.2,0.4185,72.8,8.86,0.0853,41.74,36.4617,32.88,3.1117,437.54,13.4,-1.1046,1.9,-4.375,-11.5,4.8325,-52.5,11.8,-3.6645,4.5,-1.1417,-7.3,4.1836,-13.7,15.8,-0.7315,-0.5,-7.925,-16.3,5.7969,-95.1
-26.2667,-53.6667,815.0,5.5,0.1866,12.0,9.4333,6.5,1.7603,113.2,12.4,0.0505,79.8,75.4583,67.4,3.8097,905.5,1.3,0.0797,5.3,4.7417,4.0,0.3777,56.9,171.5,0.2195,277.9,187.4667,106.4,41.1551,2249.6,8.0,0.1535,22.9,19.275,14.9,2.9588,231.3,8.8,0.1325,28.1,24.225,19.3,3.2105,290.7,7.8,0.1819,19.0,15.3833,11.2,2.7983,184.6
-36.1833,-61.0667,94.0,4.5,0.272,8.0,5.8333,3.5,1.5865,70.0,15.8,0.0688,81.8,74.7833,66.0,5.1437,897.4,0.9,0.0977,4.2,3.7417,3.3,0.3655,44.9,97.6,0.4086,133.0,84.8417,35.4,34.6628,1018.1,15.0,0.3556,22.3,14.9917,7.3,5.3304,179.9,15.8,0.2564,29.6,21.9333,13.8,5.6229,263.2,13.0,0.5249,15.0,8.7583,2.0,4.5971,105.1
-34.5833,-58.4833,25.0,3.0,0.164,7.9,6.375,4.9,1.0454,76.5,15.9,0.0758,78.7,71.2333,62.8,5.3962,854.8,1.1,0.1152,4.3,3.7083,3.2,0.4274,44.5,72.9,0.2553,134.4,104.8,61.5,26.7578,1257.6,13.9,0.2724,24.9,18.0833,11.0,4.9252,217.0,14.6,0.2258,30.1,22.975,15.5,5.1881,275.7,12.7,0.3275,20.2,13.825,7.5,4.5281,165.9
-28.5833,-65.75,464.0,6.4,0.6424,7.0,3.5167,0.6,2.2591,42.2,26.0,0.1679,66.5,54.7167,40.5,9.1856,656.6,1.1,0.1261,3.5,3.1,2.4,0.3908,37.2,78.0,0.8654,80.9,34.2583,2.9,29.6474,411.1,16.1,0.2792,27.8,21.0417,11.7,5.8754,252.5,14.4,0.1859,34.6,28.375,20.2,5.2754,340.5,17.4,0.4352,21.9,14.5833,4.5,6.3468,175.0
-29.8667,-61.9333,88.0,6.1,0.4819,7.4,4.825,1.3,2.325,57.9,14.6,0.072,80.8,73.2,66.2,5.2738,878.4,1.1,0.1099,4.1,3.4333,3.0,0.3774,41.2,138.9,0.6841,147.3,78.6,8.4,53.7697,943.2,13.9,0.2566,25.5,19.075,11.6,4.8938,228.9,13.2,0.1796,32.3,26.1,19.1,4.6889,313.2,13.3,0.3542,19.4,13.25,6.1,4.6932,159.0
