estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total
aeroparque_aero,CAPITAL FEDERAL,Pampeana,SABE,-34.55,-58.4167,6.0,87582.0,3.0,0.15719777223795067,7.5,5.925,4.5,0.9313968005098576,71.1,11.300000000000011,0.05291312185687442,76.4,71.44166666666666,65.1,3.7802016139915366,857.3,1.1,0.1122869834979257,4.2,3.625,3.1,0.4070403151799806,43.5,62.9,0.2529207023310418,117.5,92.24166666666667,54.6,23.329827117519184,1106.9,13.2,0.262511632066669,24.5,18.05,11.3,4.738334958803375,216.6,13.999999999999998,0.23037570787176126,28.4,21.608333333333334,14.4,4.978035087595641,259.3,12.4,0.30248101201130556,20.8,14.725,8.4,4.454032901866475,176.7
azul_aero,BUENOS AIRES,Pampeana,SAZA,-36.8167,-59.8833,147.0,87641.0,3.9,0.2332478977762447,7.3,5.558333333333334,3.4,1.2964695651396267,66.7,17.900000000000006,0.07722703486159602,81.4,74.10000000000001,63.5,5.722523283244265,889.2,1.0,0.09913236779722101,4.2,3.733333333333333,3.2,0.37009417310962506,44.8,76.80000000000001,0.3301429757408883,113.9,77.95833333333333,37.1,25.73739615046675,935.5,14.700000000000001,0.37399808326998657,21.6,14.116666666666667,6.9,5.279606275494644,169.4,16.3,0.272920081322213,29.5,21.166666666666668,13.2,5.776808387986843,254.0,12.2,0.5672579007602753,14.0,7.791666666666667,1.8,4.419884476757145,93.5
bahia_blanca_aero,BUENOS AIRES,Pampeana,SAZB,-38.7,-62.15,83.0,87750.0,3.2,0.19733981326251132,6.7,4.9750000000000005,3.5,0.9817655709809939,59.7,23.200000000000003,0.11859462878641337,75.2,64.64166666666667,52.0,7.666154462468405,775.7,1.1999999999999997,0.11632952211561498,4.1,3.5749999999999997,2.9,0.41587804156332353,42.9,38.89999999999999,0.2962482134951912,70.6,53.25833333333333,31.7,15.777686103731392,639.1,16.0,0.36968075583554033,23.6,15.408333333333333,7.6,5.696164312832617,184.9,17.299999999999997,0.2757905603767173,31.2,22.425,13.9,6.184603316447886,269.1,13.9,0.5300459310051879,16.3,9.241666666666667,2.4,4.898507812372945,110.9
bariloche_aero,RIO NEGRO,Patagonia,SAZS,-41.1333,-71.15,835.0,87765.0,10.8,0.5631429374756955,13.3,6.816666666666666,2.5,3.8387576904593246,81.8,27.199999999999996,0.15691963008018792,79.1,65.01666666666667,51.9,10.202391282380217,780.2,2.7,0.22300452584193747,5.4,4.008333333333334,2.7,0.8938764744164328,48.1,150.8,0.7442878299370221,168.3,67.70833333333333,17.5,50.3944884853192,812.5,13.3,0.570601807821703,15.4,8.458333333333334,2.1,4.826340291158571,101.5,16.5,0.4058272114969288,23.2,14.933333333333332,6.7,6.060353025020802,179.2,8.6,1.222117365944316,7.0,2.5166666666666666,-1.6,3.075662037626529,30.2
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,-77.8667,-34.6167,256.0,89034.0,0.8799999999999999,0.08465451749125141,4.54,4.29,3.66,0.3631678800374686,51.480000000000004,9.460000000000008,0.03190143498431688,86.4,84.565,76.94,2.697744849448757,1014.78,1.5000000000000004,0.10070651772191687,5.4,4.608333333333333,3.9,0.4640892025018336,55.3,12.8,0.15391149261465434,42.78,34.028333333333336,29.98,5.23735157452233,408.34000000000003,18.299999999999997,-0.5119854706880735,-2.6,-13.216666666666667,-20.9,6.766741304260705,-158.6,18.3,-0.698319747099372,0.8,-9.75,-17.5,6.808617534218876,-117.0,18.9,-0.3951797839234326,-6.1,-17.383333333333333,-25.0,6.86954191053567,-208.6
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,-62.2333,-58.65,11.0,89053.0,0.9399999999999995,0.035255983375989015,8.62,8.193333333333333,7.68,0.28886402379393666,98.32,4.939999999999998,0.015092583269435219,87.6,85.285,82.66,1.2871709641337825,1023.42,0.6999999999999993,0.036765940983080184,7.1,6.7749999999999995,6.4,0.2490892501603682,81.3,7.080000000000005,0.0625037520628696,41.74,37.68,34.66,2.355141377728926,452.15999999999997,8.0,-1.7698818726755874,2.2,-1.6500000000000001,-5.8,2.9203050899147196,-19.8,7.3,4.23817754241936,4.3,0.6166666666666666,-3.0,2.6135428178252718,7.3999999999999995,9.4,-0.8501815935570983,0.4,-4.016666666666667,-9.0,3.414896067454345,-48.2
base_esperanza,ANTARTIDA,Antártida,SAYE,-63.3833,-56.9833,24.0,88963.0,2.3400000000000007,0.10448821180964454,7.94,7.146666666666667,5.6,0.746742420399593,85.76,5.61999999999999,0.02596187536554544,85.02,82.96666666666667,79.4,2.1539702594947534,995.6,1.2000000000000002,0.06464513593431466,6.3,5.691666666666666,5.1,0.3679385653594742,68.3,10.940000000000005,0.10136283658892568,39.52,33.73,28.58,3.418968478144463,404.76,12.3,-1.0045419384920944,1.5,-4.525,-10.8,4.545552271676727,-54.300000000000004,10.7,-4.904526209225423,4.3,-0.8083333333333335,-6.4,3.964492019123884,-9.700000000000001,13.8,-0.6366001410788618,-1.2,-7.9750000000000005,-15.0,5.076886125103923,-95.7
base_marambio,ANTARTIDA,Antártida,SAWB,-64.2333,-56.6167,198.0,89055.0,1.8599999999999994,0.06368422623778246,8.62,7.613333333333333,6.76,0.48484924242365046,91.36,7.540000000000006,0.025970787968164762,90.2,85.01666666666667,82.66,2.2079498237601407,1020.2,1.7999999999999998,0.1109870388463847,6.6,5.683333333333334,4.8,0.6307763374436197,68.2,12.940000000000001,0.09313308802562081,41.74,34.46333333333333,28.8,3.209676656989645,413.56,14.1,-0.6705834309255081,-0.8,-8.016666666666667,-14.9,5.375843837919491,-96.2,12.399999999999999,-1.0644229584778302,1.7,-4.333333333333333,-10.7,4.6124994867372635,-52.0,16.3,-0.5372356948917645,-3.0,-11.450000000000001,-19.3,6.151348706510704,-137.4
base_orcadas,ANTARTIDA,Antártida,SAYO,-60.7333,-44.7333,12.0,88968.0,1.6399999999999997,0.1148687778099723,6.14,5.2250000000000005,4.5,0.6001893640571053,62.7,2.0999999999999943,0.008320758181208601,88.0,87.16833333333334,85.9,0.7253066227256518,1046.02,1.2999999999999998,0.06271797041065716,7.5,6.95,6.2,0.4358898943540673,83.4,10.579999999999998,0.093941900504612,42.54,37.87166666666667,31.96,3.5577363419438313,454.46000000000004,10.8,-1.2536579718854926,1.4,-3.0999999999999996,-9.4,3.8863397128450266,-37.199999999999996,8.9,-27.59325560897157,3.6,-0.11666666666666665,-5.3,3.219213154380016,-1.4,13.7,-0.7980306881020598,-0.4,-6.116666666666667,-14.1,4.881287708890933,-73.4
base_san_martin,ANTARTIDA,Antártida,SAYS,-68.1167,-67.1,7.0,89066.0,1.259999999999999,0.04808353620099759,8.62,7.989999999999999,7.36,0.3841874542459707,95.88,11.459999999999994,0.04642156296576074,82.66,78.035,71.2,3.6225066660331393,936.42,1.2999999999999998,0.06898534109830734,6.5,6.066666666666666,5.2,0.4185110693297312,72.8,8.86,0.08534157122096611,41.74,36.461666666666666,32.88,3.1116959226684595,437.53999999999996,13.4,-1.1045690233175685,1.9,-4.375,-11.5,4.832489477014362,-52.5,11.8,-3.66448207650533,4.5,-1.1416666666666666,-7.3,4.183617037343585,-13.7,15.8,-0.7314680074693063,-0.5,-7.925000000000001,-16.3,5.796883959194253,-95.10000000000001
