estacion,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,provincia,region,latitud,longitud,altura,oaci,nro
aeroparque_aero,1,6.7,67.0,3.1,117.5,24.5,28.4,20.8,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,2,6.0,69.8,3.2,112.3,23.7,27.3,20.2,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,3,5.9,71.3,3.1,111.8,22.0,25.5,18.8,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,4,6.6,73.6,3.5,108.3,18.5,22.0,15.3,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,5,5.0,76.4,4.0,83.3,15.2,18.4,12.3,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,6,4.5,76.3,4.2,54.6,12.3,15.5,9.4,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,7,5.0,75.5,4.1,64.3,11.3,14.4,8.4,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,8,5.0,73.6,3.9,61.5,12.9,16.5,9.7,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,9,5.5,71.1,3.8,72.6,14.7,18.3,11.5,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,10,7.5,70.6,3.9,104.7,17.7,21.1,14.3,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,11,6.8,67.0,3.5,103.2,20.6,24.5,16.8,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
aeroparque_aero,12,6.6,65.1,3.2,112.8,23.2,27.4,19.2,CAPITAL FEDERAL,Pampeana,-34.55,-58.41666666666666,6.0,SABE,87582.0
azul_aero,1,6.5,65.5,3.3,103.8,21.6,29.5,14.0,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,2,5.8,72.1,3.4,101.6,20.3,27.9,13.3,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,3,7.3,76.6,3.4,113.9,17.8,25.1,11.3,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,4,6.0,77.9,3.5,90.6,14.0,21.1,7.9,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,5,4.6,81.4,4.1,55.7,10.5,17.1,5.2,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,6,3.4,80.5,4.2,37.1,7.5,13.8,2.4,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,7,4.3,79.7,4.2,40.8,6.9,13.2,1.8,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,8,4.0,75.3,4.0,59.2,8.6,15.6,3.0,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,9,4.9,73.1,3.9,67.5,10.7,17.6,4.4,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,10,7.1,74.1,4.0,92.0,14.0,20.6,7.6,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,11,6.9,69.5,3.6,97.9,17.2,24.4,10.1,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
azul_aero,12,5.9,63.5,3.2,75.4,20.3,28.1,12.5,BUENOS AIRES,Pampeana,-36.81666666666667,-59.88333333333333,147.0,SAZA,87641.0
